Job_Role,Skills
Python Developer,"Python, Django, Flask, REST APIs, SQL, OOP, Git, Docker"
Data Analyst,"SQL, Excel, Tableau, Power BI, Statistics, Python, Data Visualization"
Web Developer,"HTML, CSS, JavaScript, React, Node.js, Responsive Design, Git"
Software Engineer,"Java, Python, C++, Data Structures, Algorithms, OOP, System Design"
Machine Learning Engineer,"Python, TensorFlow, PyTorch, Scikit-learn, Pandas, ML Algorithms"
AI Engineer,"Python, NLP, Transformers, LLMs, Deep Learning, PyTorch, OpenCV"
Cybersecurity Analyst,"Networking, Firewalls, SIEM, Vulnerability Assessment, Kali Linux"
DevOps Engineer,"Docker, Kubernetes, Jenkins, AWS, Terraform, CI/CD, Linux"
Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform, Cloud Security"
Database Administrator,"SQL, Oracle, MySQL, PostgreSQL, Backup & Recovery, Indexing"
Full Stack Developer,"JavaScript, React, Node.js, Express.js, MongoDB, SQL, Git"
Backend Developer,"Python, Java, Node.js, REST APIs, Microservices, SQL, Docker"
Frontend Developer,"HTML, CSS, JS, React, Redux, Responsive Design, UX Basics"
Mobile App Developer,"Flutter, Dart, Kotlin, Swift, Firebase, Android Studio"
UI/UX Designer,"Figma, Adobe XD, Wireframes, Prototypes, User Research, Usability"
Big Data Engineer,"Hadoop, Spark, Hive, Kafka, ETL, Distributed Systems"
Network Engineer,"Routing, Switching, Cisco, Firewalls, TCP/IP, Network Security"
Data Scientist,"Python, Statistics, ML, Pandas, NLP, Model Deployment"
Business Analyst,"Excel, SQL, Power BI, Requirement Gathering, Process Mapping"
QA Automation Engineer,"Selenium, TestNG, Java/Python, CI/CD, API Testing"
IT Support Specialist,"Troubleshooting, Networking, Windows/Linux, Ticketing, Hardware"
Project Manager,"Agile, Scrum, JIRA, Risk Management, Scheduling, Communication"
Product Manager,"Roadmapping, Agile, Market Research, A/B Testing, Analytics"
System Administrator,"Linux, Bash, Monitoring, User Management, Backup Strategies"
Blockchain Developer,"Solidity, Ethereum, Smart Contracts, Web3.js, Cryptography"
AR/VR Developer,"Unity, C#, 3D Modeling, ARKit, ARCore, Blender"
Embedded Systems Engineer,"C, C++, Microcontrollers, Embedded Linux, RTOS"
Game Developer,"Unity, Unreal Engine, C#, 3D Assets, Gameplay Scripting"
Robotics Engineer,"ROS, Python, SLAM, Sensors, Path Planning"
Site Reliability Engineer,"Linux, Docker, Kubernetes, Monitoring, Incident Response"
AI Researcher,"Machine Learning, Deep Learning, Optimization, PyTorch, Research Methods"
Information Security Manager,"Risk Management, Security Audits, SOC, Compliance"
Technical Writer,"Documentation, Markdown, Research, API Writing"
Salesforce Developer,"Apex, LWC, SOQL, Salesforce Admin, Integrations"
ERP Consultant,"SAP, Oracle ERP, SQL, Business Processes, Configuration"
Cloud Solutions Architect,"AWS, Azure, GCP, System Design, Security, Cost Optimization"
Data Engineer,"Python, SQL, Spark, ETL, Airflow, Data Warehousing"
RPA Developer,"UiPath, Automation Anywhere, Workflows, Process Automation"
IoT Engineer,"MQTT, Sensors, Embedded C, Cloud IoT Platforms, Networking"
IT Auditor,"Compliance, Risk Assessment, IT Controls, Security Testing"
